Bag Number,Surface,Fold,Time (Bag),Mu Value,Inconsistency,Raw If Applicable,Previously Recorded Mu,Previoulsy Recorded Time,Mu Difference,Timestamp Difference,,,,,,,,,,,,,,
,Acrylic,.,1770760732,0.7181710076,,,0.7181710075,1770760732,0.000,0.020,,,,,,,,,,,,,,
Bag 5,Tile,3,1770760748,0.7404798108,,,0.7404798108,1770760748,0.000,0.140,,,,,,,,,,,,,,
,Cardboard,.,1770760753,1.041958062,,,1.041958061,1770760753,0.000,0.136,,,,,,,,,,,,,,
,Acrylic,.,1770760755,0.6789101833,,,0.6789101833,1770760755,0.000,0.160,,,,,,,,,,,,,,
Bag 6,Tile,1,1770760810,0.7223886907,,,0.7223886906,1770760810,0.000,0.036,,,,,,,,,,,,,,
,Cardboard,.,1770760816,0.8750385896,,,0.87503858,1770760816,0.000,0.040,,,,,,,,,,,,,,
,Acrylic,.,1770760820,1.390464671,,,1.390464671,1770760820,0.000,0.045,,,,,,,,,,,,,,
Bag 7,Tile,2,1770760883,0.6938557598,,,0.693855759,1770760883,0.000,0.035,,,,,,,,,,,,,,
,Cardboard,.,1770760890,0.8980291949,,,0.8980291949,1770760890,0.000,0.021,,,,,,,,,,,,,,
,Acrylic,.,1770760893,0.7200478942,,,0.72004789,1770760893,0.000,0.020,,,,,,,,,,,,,,
Bag 8,Tile,3,1770760922,0.6759991876,,,0.6759991876,1770760922,0.000,0.115,,,,,,,,,,,,,,
,Cardboard,.,1770760928,1.059625954,,,1.05962595,1770760928,0.000,0.140,,,,,,,,,,,,,,
,Acrylic,.,1770760930,0.7635727213,,,0.76357272,1770760930,0.000,0.165,,,,,,,,,,,,,,
Bag 9,Tile,1,1770760999,0.6175559023,,,0.6175559023,1770760999,0.000,0.043,,,,,,,,,,,,,,
,Cardboard,.,1770761004,1.055265147,,,1.055265147,1770761004,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770761007,0.7068303252,,,0.706830325,1770761007,0.000,0.040,,,,,,,,,,,,,,
Bag 10,Tile,1,1770761025,0.6481148752,,,0.648114875,1770761025,0.000,0.020,,,,,,,,,,,,,,
,Cardboard,.,1770761031,0.8983166196,,,0.8983166196,1770761031,0.000,0.018,,,,,,,,,,,,,,
,Acrylic,.,1770761034,0.7293578089,,,0.729357808,1770761034,0.000,0.020,,,,,,,,,,,,,,
Bag 11,Tile,2,1770761050,0.6756369776,,,0.6756369776,1770761050,0.000,0.000,,,,,,,,,,,,,,
,Cardboard,.,1770761056,1.095908065,,,1.095908064,1770761056,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770761058,0.774511134,,,0.7745111339,1770761058,0.000,0.000,,,,,,,,,,,,,,
Bag 12,Tile,4,1770761073,0.7324887419,,,0.7324887418,1770761073,0.000,0.000,,,,,,,,,,,,,,
,Cardboard,.,1770761078,1.032604116,,,1.032604115,1770761078,0.000,0.000,,,,,,,,,,,,,,
,Acrylic,.,1770761080,0.7585566574,,,0.7585566574,1770761080,0.000,0.000,,,,,,,,,,,,,,
Bag 13,Tile,2,1770761097,0.6739674954,,,0.6739674954,1770761097,0.000,0.019,,,,,,,,,,,,,,
,Cardboard,.,1770761102,0.9697900619,,,0.969790061,1770761102,0.000,0.020,,,,,,,,,,,,,,
,Acrylic,.,1770761105,1.128843536,,,1.128843535,1770761105,0.000,0.020,,,,,,,,,,,,,,
